service_id,date,exception_type
C06747AVVHB-0031,20210110,1
C06747AVVHB-0031,20210117,1
C06747AVVHB-0031,20210124,1
C06747AVVHB-0031,20210131,1
C06765EVVHPMAA-021,20201228,1
C06765EVVHPMAA-021,20201229,1
C06765EVVHPMAA-021,20201230,1
C0679531HPMAA-051,20201231,1
C06926EVVHPSzN-031,20201228,1
C06926EVVHPSzN-031,20201229,1
C06926EVVHPSzN-031,20201230,1
C06926EVVHPSzN-031,20201231,1
C07091EVVHPLE-0021,20201228,1
C07091EVVHPLE-0021,20201229,1
C07091EVVHPLE-0021,20201230,1
C07091EVVHPLE-0021,20201231,1
C07110EVVHPMAA-011,20201228,1
C07110EVVHPMAA-011,20201229,1
C07110EVVHPMAA-011,20201230,1
C07110EVVHPMAA-011,20201231,1
C0715231HPKMK-031,20201231,1
C07235EVVHPHB-0021,20201228,1
C07235EVVHPHB-0021,20201229,1
C07235EVVHPHB-0021,20201230,1
C07235EVVHPHB-0021,20201231,1
C07241EVVHPHB-0031,20201228,1
C07241EVVHPHB-0031,20201229,1
C07241EVVHPHB-0031,20201230,1
C07241EVVHPHB-0031,20201231,1
C07335AVCIGy-021,20201213,1
C07335AVCIGy-021,20201214,1
C07335AVCIGy-021,20201215,1
C07335AVCIGy-021,20201216,1
C07335AVCIGy-021,20201217,1
C07335AVCIGy-021,20210101,1
C07335AVCIGy-021,20210103,1
C07335AVCIGy-021,20210104,1
C07335AVCIGy-021,20210105,1
C07335AVCIGy-021,20210106,1
C07335AVCIGy-021,20210107,1
C07335AVCIGy-021,20210110,1
C07335AVCIGy-021,20210111,1
C07335AVCIGy-021,20210112,1
C07335AVCIGy-021,20210113,1
C07335AVCIGy-021,20210114,1
C07335AVCIGy-021,20210117,1
C07335AVCIGy-021,20210118,1
C07335AVCIGy-021,20210119,1
C07335AVCIGy-021,20210120,1
C07335AVCIGy-021,20210121,1
C07335AVCIGy-021,20210124,1
C07335AVCIGy-021,20210125,1
C07335AVCIGy-021,20210126,1
C07335AVCIGy-021,20210127,1
C07335AVCIGy-021,20210128,1
